Identifier	gene_name	GENE_NAME	type	biotypes	description	gc	Cluster
ENSMUSG00000041697	Cox6a1	COX6A1	protein_coding	protein_coding	cytochrome_c_oxidase_subunit_VIa_polypeptide_1_[Source:MGI_Symbol;Acc:MGI:103099]	0.6079	NA
ENSMUSG00000019731	Slc35e1	SLC35E1	protein_coding	protein_coding	"solute_carrier_family_35,_member_E1_[Source:MGI_Symbol;Acc:MGI:2142403]"	0.5502	NA
ENSMUSG00000115253	Vmn1r20	VMN1R20	protein_coding	protein_coding	vomeronasal_1_receptor_20_[Source:MGI_Symbol;Acc:MGI:3644381]	0.3952	NA
ENSMUSG00000071138	Tex24	TEX24	protein_coding	protein_coding	testis_expressed_gene_24_[Source:MGI_Symbol;Acc:MGI:1921539]	0.4686	NA
ENSMUSG00000102697	Pcdhac2	PCDHAC2	protein_coding	protein_coding	"protocadherin_alpha_subfamily_C,_2_[Source:MGI_Symbol;Acc:MGI:1891443]"	0.4981	NA
ENSMUSG00000074577	Ripor3	RIPOR3	protein_coding	protein_coding	RIPOR_family_member_3_[Source:MGI_Symbol;Acc:MGI:1916803]	0.6054	NA
ENSMUSG00000037034	Pax1	PAX1	protein_coding	protein_coding	paired_box_1_[Source:MGI_Symbol;Acc:MGI:97485]	0.5456	NA
ENSMUSG00000026435	Slc45a3	SLC45A3	protein_coding	protein_coding	"solute_carrier_family_45,_member_3_[Source:MGI_Symbol;Acc:MGI:1922082]"	0.5715	NA
ENSMUSG00000028291	Akirin2	AKIRIN2	protein_coding	protein_coding	akirin_2_[Source:MGI_Symbol;Acc:MGI:1889364]	0.494	NA
ENSMUSG00000036401	Glt6d1	GLT6D1	protein_coding	protein_coding	glycosyltransferase_6_domain_containing_1_[Source:MGI_Symbol;Acc:MGI:1918353]	0.4854	NA
ENSMUSG00000024457	Trim26	TRIM26	protein_coding	protein_coding	tripartite_motif-containing_26_[Source:MGI_Symbol;Acc:MGI:1337056]	0.5443	NA
ENSMUSG00000022367	Has2	HAS2	protein_coding	protein_coding	hyaluronan_synthase_2_[Source:MGI_Symbol;Acc:MGI:107821]	0.4059	NA
ENSMUSG00000028232	Tmem68	TMEM68	protein_coding	protein_coding	transmembrane_protein_68_[Source:MGI_Symbol;Acc:MGI:1919348]	0.4064	NA
ENSMUSG00000073027	Dmrtc1b	DMRTC1B	protein_coding	protein_coding	DMRT-like_family_C1b_[Source:MGI_Symbol;Acc:MGI:3639121]	0.4678	NA
ENSMUSG00000113195	AC123705.1	AC123705.1	protein_coding	TEC	NA	0.3737	NA
ENSMUSG00000009246	Trpm5	TRPM5	protein_coding	protein_coding	"transient_receptor_potential_cation_channel,_subfamily_M,_member_5_[Source:MGI_Symbol;Acc:MGI:1861718]"	0.5464	NA
ENSMUSG00000046652	Tas2r143	TAS2R143	protein_coding	protein_coding	"taste_receptor,_type_2,_member_143_[Source:MGI_Symbol;Acc:MGI:2681310]"	0.4773	NA
ENSMUSG00000031548	Sfrp1	SFRP1	protein_coding	protein_coding	secreted_frizzled-related_protein_1_[Source:MGI_Symbol;Acc:MGI:892014]	0.5078	NA
ENSMUSG00000020387	Jade2	JADE2	protein_coding	protein_coding	jade_family_PHD_finger_2_[Source:MGI_Symbol;Acc:MGI:1924151]	0.5444	NA
ENSMUSG00000109835	Olfr730	OLFR730	protein_coding	protein_coding	olfactory_receptor_730_[Source:MGI_Symbol;Acc:MGI:3030564]	0.3586	NA
ENSMUSG00000115447	AC125095.1	AC125095.1	protein_coding	TEC	NA	0.35	NA
ENSMUSG00000058056	Palld	PALLD	protein_coding	protein_coding	"palladin,_cytoskeletal_associated_protein_[Source:MGI_Symbol;Acc:MGI:1919583]"	0.5055	NA
ENSMUSG00000030435	U2af2	U2AF2	protein_coding	protein_coding	U2_small_nuclear_ribonucleoprotein_auxiliary_factor_(U2AF)_2_[Source:MGI_Symbol;Acc:MGI:98886]	0.5605	NA
ENSMUSG00000029521	Chek2	CHEK2	protein_coding	protein_coding	checkpoint_kinase_2_[Source:MGI_Symbol;Acc:MGI:1355321]	0.4785	NA
ENSMUSG00000031897	Psmb10	PSMB10	protein_coding	protein_coding	"proteasome_(prosome,_macropain)_subunit,_beta_type_10_[Source:MGI_Symbol;Acc:MGI:1096380]"	0.584	NA
ENSMUSG00000031125	3830403N18Rik	3830403N18RIK	protein_coding	protein_coding	RIKEN_cDNA_3830403N18_gene_[Source:MGI_Symbol;Acc:MGI:1917941]	0.3483	NA
ENSMUSG00000033735	Spr	SPR	protein_coding	protein_coding	sepiapterin_reductase_[Source:MGI_Symbol;Acc:MGI:103078]	0.5846	NA
ENSMUSG00000042801	Olfr769	OLFR769	protein_coding	protein_coding	olfactory_receptor_769_[Source:MGI_Symbol;Acc:MGI:3030603]	0.4111	NA
ENSMUSG00000104187	Gm37820	GM37820	protein_coding	TEC	"predicted_gene,_37820_[Source:MGI_Symbol;Acc:MGI:5611048]"	0.496	NA
ENSMUSG00000102628	Gm37671	GM37671	protein_coding	TEC	"predicted_gene,_37671_[Source:MGI_Symbol;Acc:MGI:5610899]"	0.4299	NA
ENSMUSG00000026471	Mr1	MR1	protein_coding	protein_coding	"major_histocompatibility_complex,_class_I-related_[Source:MGI_Symbol;Acc:MGI:1195463]"	0.4458	NA
ENSMUSG00000102642	A130048G24Rik	A130048G24RIK	protein_coding	TEC	RIKEN_cDNA_A130048G24_gene_[Source:MGI_Symbol;Acc:MGI:2443520]	0.4153	NA
ENSMUSG00000048621	Gm6377	GM6377	protein_coding	protein_coding	predicted_gene_6377_[Source:MGI_Symbol;Acc:MGI:3647255]	0.3536	NA
ENSMUSG00000025515	Muc2	MUC2	protein_coding	protein_coding	mucin_2_[Source:MGI_Symbol;Acc:MGI:1339364]	0.5252	NA
ENSMUSG00000034042	Gpbp1l1	GPBP1L1	protein_coding	protein_coding	GC-rich_promoter_binding_protein_1-like_1_[Source:MGI_Symbol;Acc:MGI:1924360]	0.4391	NA
ENSMUSG00000036155	Mgat5	MGAT5	protein_coding	protein_coding	mannoside_acetylglucosaminyltransferase_5_[Source:MGI_Symbol;Acc:MGI:894701]	0.5113	NA
ENSMUSG00000028398	Dmac1	DMAC1	protein_coding	protein_coding	distal_membrane_arm_assembly_complex_1_[Source:MGI_Symbol;Acc:MGI:1914178]	0.4953	NA
ENSMUSG00000041538	H2-Ob	H2-OB	protein_coding	protein_coding	"histocompatibility_2,_O_region_beta_locus_[Source:MGI_Symbol;Acc:MGI:95925]"	0.484	NA
ENSMUSG00000094936	Rbm4	RBM4	protein_coding	protein_coding	RNA_binding_motif_protein_4_[Source:MGI_Symbol;Acc:MGI:1100865]	0.5112	NA
ENSMUSG00000023094	Msrb2	MSRB2	protein_coding	protein_coding	methionine_sulfoxide_reductase_B2_[Source:MGI_Symbol;Acc:MGI:1923717]	0.5274	NA
ENSMUSG00000051331	Cacna1c	CACNA1C	protein_coding	protein_coding	"calcium_channel,_voltage-dependent,_L_type,_alpha_1C_subunit_[Source:MGI_Symbol;Acc:MGI:103013]"	0.5277	NA
ENSMUSG00000036907	C1ql2	C1QL2	protein_coding	protein_coding	"complement_component_1,_q_subcomponent-like_2_[Source:MGI_Symbol;Acc:MGI:3032521]"	0.6335	NA
ENSMUSG00000069118	1700008P02Rik	1700008P02RIK	protein_coding	protein_coding	RIKEN_cDNA_1700008P02_gene_[Source:MGI_Symbol;Acc:MGI:1916597]	0.4406	NA
ENSMUSG00000040147	Maob	MAOB	protein_coding	protein_coding	monoamine_oxidase_B_[Source:MGI_Symbol;Acc:MGI:96916]	0.4573	NA
ENSMUSG00000032834	Pwp2	PWP2	protein_coding	protein_coding	PWP2_periodic_tryptophan_protein_homolog_(yeast)_[Source:MGI_Symbol;Acc:MGI:1341200]	0.538	NA
ENSMUSG00000000149	Gna12	GNA12	protein_coding	protein_coding	"guanine_nucleotide_binding_protein,_alpha_12_[Source:MGI_Symbol;Acc:MGI:95767]"	0.5764	NA
ENSMUSG00000002741	Ykt6	YKT6	protein_coding	protein_coding	YKT6_v-SNARE_homolog_(S._cerevisiae)_[Source:MGI_Symbol;Acc:MGI:1927550]	0.5223	NA
ENSMUSG00000025500	Lmntd2	LMNTD2	protein_coding	protein_coding	lamin_tail_domain_containing_2_[Source:MGI_Symbol;Acc:MGI:1919250]	0.5549	NA
ENSMUSG00000020610	Amz2	AMZ2	protein_coding	protein_coding	archaelysin_family_metallopeptidase_2_[Source:MGI_Symbol;Acc:MGI:104837]	0.4664	NA
ENSMUSG00000072501	Phf20l1	PHF20L1	protein_coding	protein_coding	PHD_finger_protein_20-like_1_[Source:MGI_Symbol;Acc:MGI:2444412]	0.4066	NA
ENSMUSG00000043945	Adam6a	ADAM6A	protein_coding	protein_coding	a_disintegrin_and_metallopeptidase_domain_6A_[Source:MGI_Symbol;Acc:MGI:2676316]	0.4375	NA
ENSMUSG00000023781	Hes7	HES7	protein_coding	protein_coding	hairy_and_enhancer_of_split_7_(Drosophila)_[Source:MGI_Symbol;Acc:MGI:2135679]	0.5943	NA
ENSMUSG00000019173	Rab5c	RAB5C	protein_coding	protein_coding	"RAB5C,_member_RAS_oncogene_family_[Source:MGI_Symbol;Acc:MGI:105306]"	0.5577	NA
ENSMUSG00000079644	Gm1110	GM1110	protein_coding	protein_coding	predicted_gene_1110_[Source:MGI_Symbol;Acc:MGI:2685956]	0.4558	NA
ENSMUSG00000013846	St3gal1	ST3GAL1	protein_coding	protein_coding	"ST3_beta-galactoside_alpha-2,3-sialyltransferase_1_[Source:MGI_Symbol;Acc:MGI:98304]"	0.5172	NA
ENSMUSG00000006169	Clint1	CLINT1	protein_coding	protein_coding	clathrin_interactor_1_[Source:MGI_Symbol;Acc:MGI:2144243]	0.4636	NA
ENSMUSG00000027397	Slc20a1	SLC20A1	protein_coding	protein_coding	"solute_carrier_family_20,_member_1_[Source:MGI_Symbol;Acc:MGI:108392]"	0.4864	NA
ENSMUSG00000030374	Strn4	STRN4	protein_coding	protein_coding	"striatin,_calmodulin_binding_protein_4_[Source:MGI_Symbol;Acc:MGI:2142346]"	0.5619	NA
ENSMUSG00000064326	Siva1	SIVA1	protein_coding	protein_coding	"SIVA1,_apoptosis-inducing_factor_[Source:MGI_Symbol;Acc:MGI:1353606]"	0.558	NA
ENSMUSG00000066829	Zfp810	ZFP810	protein_coding	protein_coding	zinc_finger_protein_810_[Source:MGI_Symbol;Acc:MGI:2384563]	0.4774	NA
ENSMUSG00000063683	Glyat	GLYAT	protein_coding	protein_coding	glycine-N-acyltransferase_[Source:MGI_Symbol;Acc:MGI:2147502]	0.4076	NA
ENSMUSG00000059921	Unc5c	UNC5C	protein_coding	protein_coding	unc-5_netrin_receptor_C_[Source:MGI_Symbol;Acc:MGI:1095412]	0.4705	NA
ENSMUSG00000058618	AY761184	AY761184	protein_coding	protein_coding	cDNA_sequence_AY761184_[Source:MGI_Symbol;Acc:MGI:3611585]	0.501	NA
ENSMUSG00000038015	Prm2	PRM2	protein_coding	protein_coding	protamine_2_[Source:MGI_Symbol;Acc:MGI:97766]	0.5797	NA
ENSMUSG00000035095	Fam167a	FAM167A	protein_coding	protein_coding	"family_with_sequence_similarity_167,_member_A_[Source:MGI_Symbol;Acc:MGI:3606565]"	0.5696	NA
ENSMUSG00000018861	Fdxr	FDXR	protein_coding	protein_coding	ferredoxin_reductase_[Source:MGI_Symbol;Acc:MGI:104724]	0.5689	NA
ENSMUSG00000050957	Insl6	INSL6	protein_coding	protein_coding	insulin-like_6_[Source:MGI_Symbol;Acc:MGI:1351595]	0.4915	NA
ENSMUSG00000034796	Cpne7	CPNE7	protein_coding	protein_coding	copine_VII_[Source:MGI_Symbol;Acc:MGI:2142747]	0.5724	NA
ENSMUSG00000010797	Wnt2	WNT2	protein_coding	protein_coding	"wingless-type_MMTV_integration_site_family,_member_2_[Source:MGI_Symbol;Acc:MGI:98954]"	0.5211	NA
ENSMUSG00000108443	Gm44510	GM44510	protein_coding	TEC	predicted_gene_44510_[Source:MGI_Symbol;Acc:MGI:5753086]	0.4342	NA
ENSMUSG00000035239	Neu3	NEU3	protein_coding	protein_coding	neuraminidase_3_[Source:MGI_Symbol;Acc:MGI:1355305]	0.4807	NA
ENSMUSG00000066607	6030419C18Rik	6030419C18RIK	protein_coding	protein_coding	RIKEN_cDNA_6030419C18_gene_[Source:MGI_Symbol;Acc:MGI:2442108]	0.6182	NA
ENSMUSG00000021987	Mtmr6	MTMR6	protein_coding	protein_coding	myotubularin_related_protein_6_[Source:MGI_Symbol;Acc:MGI:2145637]	0.451	NA
ENSMUSG00000014303	Glis2	GLIS2	protein_coding	protein_coding	GLIS_family_zinc_finger_2_[Source:MGI_Symbol;Acc:MGI:1932535]	0.5919	NA
ENSMUSG00000053470	Kdm3a	KDM3A	protein_coding	protein_coding	lysine_(K)-specific_demethylase_3A_[Source:MGI_Symbol;Acc:MGI:98847]	0.4523	NA
ENSMUSG00000030681	Mvp	MVP	protein_coding	protein_coding	major_vault_protein_[Source:MGI_Symbol;Acc:MGI:1925638]	0.5497	NA
ENSMUSG00000060121	Gemin2	GEMIN2	protein_coding	protein_coding	gem_nuclear_organelle_associated_protein_2_[Source:MGI_Symbol;Acc:MGI:1913853]	0.4406	NA
ENSMUSG00000102602	A930004J17Rik	A930004J17RIK	protein_coding	TEC	RIKEN_cDNA_A930004J17_gene_[Source:MGI_Symbol;Acc:MGI:2442442]	0.413	NA
ENSMUSG00000031697	Orc6	ORC6	protein_coding	protein_coding	"origin_recognition_complex,_subunit_6_[Source:MGI_Symbol;Acc:MGI:1929285]"	0.4709	NA
ENSMUSG00000028294	Cfap206	CFAP206	protein_coding	protein_coding	cilia_and_flagella_associated_protein_206_[Source:MGI_Symbol;Acc:MGI:1916579]	0.4804	NA
ENSMUSG00000031762	Mt2	MT2	protein_coding	protein_coding	metallothionein_2_[Source:MGI_Symbol;Acc:MGI:97172]	0.5356	NA
ENSMUSG00000028295	Smim8	SMIM8	protein_coding	protein_coding	small_integral_membrane_protein_8_[Source:MGI_Symbol;Acc:MGI:1913541]	0.4389	NA
ENSMUSG00000047014	Catsperb	CATSPERB	protein_coding	protein_coding	cation_channel_sperm_associated_auxiliary_subunit_beta_[Source:MGI_Symbol;Acc:MGI:2443988]	0.3792	NA
ENSMUSG00000021264	Yy1	YY1	protein_coding	protein_coding	YY1_transcription_factor_[Source:MGI_Symbol;Acc:MGI:99150]	0.4737	NA
ENSMUSG00000022074	Tnfrsf10b	TNFRSF10B	protein_coding	protein_coding	"tumor_necrosis_factor_receptor_superfamily,_member_10b_[Source:MGI_Symbol;Acc:MGI:1341090]"	0.4999	NA
ENSMUSG00000094805	Olfr311	OLFR311	protein_coding	protein_coding	olfactory_receptor_311_[Source:MGI_Symbol;Acc:MGI:3030145]	0.4476	NA
ENSMUSG00000002409	Dyrk1b	DYRK1B	protein_coding	protein_coding	dual-specificity_tyrosine-(Y)-phosphorylation_regulated_kinase_1b_[Source:MGI_Symbol;Acc:MGI:1330302]	0.6259	NA
ENSMUSG00000071350	Setdb2	SETDB2	protein_coding	protein_coding	"SET_domain,_bifurcated_2_[Source:MGI_Symbol;Acc:MGI:2685139]"	0.4517	NA
ENSMUSG00000030357	Fkbp4	FKBP4	protein_coding	protein_coding	FK506_binding_protein_4_[Source:MGI_Symbol;Acc:MGI:95543]	0.5536	NA
ENSMUSG00000038086	Hspb2	HSPB2	protein_coding	protein_coding	heat_shock_protein_2_[Source:MGI_Symbol;Acc:MGI:1916503]	0.589	NA
ENSMUSG00000025264	Tsr2	TSR2	protein_coding	protein_coding	TSR2_20S_rRNA_accumulation_[Source:MGI_Symbol;Acc:MGI:1916749]	0.4866	NA
ENSMUSG00000109726	Gm45638	GM45638	protein_coding	TEC	predicted_gene_45638_[Source:MGI_Symbol;Acc:MGI:5791474]	0.4767	NA
ENSMUSG00000031511	Arhgef7	ARHGEF7	protein_coding	protein_coding	Rho_guanine_nucleotide_exchange_factor_(GEF7)_[Source:MGI_Symbol;Acc:MGI:1860493]	0.5225	NA
ENSMUSG00000057719	Sh3rf2	SH3RF2	protein_coding	protein_coding	SH3_domain_containing_ring_finger_2_[Source:MGI_Symbol;Acc:MGI:2444628]	0.5148	NA
ENSMUSG00000024817	Uhrf2	UHRF2	protein_coding	protein_coding	"ubiquitin-like,_containing_PHD_and_RING_finger_domains_2_[Source:MGI_Symbol;Acc:MGI:1923718]"	0.4293	NA
ENSMUSG00000020330	Hmmr	HMMR	protein_coding	protein_coding	hyaluronan_mediated_motility_receptor_(RHAMM)_[Source:MGI_Symbol;Acc:MGI:104667]	0.4236	NA
ENSMUSG00000041958	Pigs	PIGS	protein_coding	protein_coding	"phosphatidylinositol_glycan_anchor_biosynthesis,_class_S_[Source:MGI_Symbol;Acc:MGI:2687325]"	0.5626	NA
ENSMUSG00000027035	Cers6	CERS6	protein_coding	protein_coding	ceramide_synthase_6_[Source:MGI_Symbol;Acc:MGI:2442564]	0.5009	NA
ENSMUSG00000104116	Gm37296	GM37296	protein_coding	TEC	"predicted_gene,_37296_[Source:MGI_Symbol;Acc:MGI:5610524]"	0.3624	NA
ENSMUSG00000030742	Lat	LAT	protein_coding	protein_coding	linker_for_activation_of_T_cells_[Source:MGI_Symbol;Acc:MGI:1342293]	0.5835	NA
ENSMUSG00000029029	Wrap73	WRAP73	protein_coding	protein_coding	"WD_repeat_containing,_antisense_to_Trp73_[Source:MGI_Symbol;Acc:MGI:1891749]"	0.5462	NA
ENSMUSG00000056679	Gpr173	GPR173	protein_coding	protein_coding	G-protein_coupled_receptor_173_[Source:MGI_Symbol;Acc:MGI:1918021]	0.5273	NA
ENSMUSG00000078868	Gm14412	GM14412	protein_coding	protein_coding	predicted_gene_14412_[Source:MGI_Symbol;Acc:MGI:3652251]	0.3858	NA
ENSMUSG00000054715	Zscan22	ZSCAN22	protein_coding	protein_coding	zinc_finger_and_SCAN_domain_containing_22_[Source:MGI_Symbol;Acc:MGI:2443312]	0.5174	NA
ENSMUSG00000071660	Ttc9c	TTC9C	protein_coding	protein_coding	tetratricopeptide_repeat_domain_9C_[Source:MGI_Symbol;Acc:MGI:1917637]	0.4696	NA
ENSMUSG00000044934	Zfp367	ZFP367	protein_coding	protein_coding	zinc_finger_protein_367_[Source:MGI_Symbol;Acc:MGI:2442266]	0.4881	NA
ENSMUSG00000070459	Olfr290	OLFR290	protein_coding	protein_coding	olfactory_receptor_290_[Source:MGI_Symbol;Acc:MGI:3030124]	0.4091	NA
ENSMUSG00000005674	Tomm40l	TOMM40L	protein_coding	protein_coding	translocase_of_outer_mitochondrial_membrane_40_homolog-like_(yeast)_[Source:MGI_Symbol;Acc:MGI:3589112]	0.5517	NA
ENSMUSG00000026355	Mcm6	MCM6	protein_coding	protein_coding	minichromosome_maintenance_complex_component_6_[Source:MGI_Symbol;Acc:MGI:1298227]	0.4743	NA
ENSMUSG00000036110	Slc17a2	SLC17A2	protein_coding	protein_coding	"solute_carrier_family_17_(sodium_phosphate),_member_2_[Source:MGI_Symbol;Acc:MGI:2443098]"	0.4492	NA
ENSMUSG00000039904	Gpr37	GPR37	protein_coding	protein_coding	G_protein-coupled_receptor_37_[Source:MGI_Symbol;Acc:MGI:1313297]	0.4873	NA
ENSMUSG00000115210	AC120375.1	AC120375.1	protein_coding	TEC	NA	0.3696	NA
ENSMUSG00000029268	Ugt2a2	UGT2A2	protein_coding	protein_coding	"UDP_glucuronosyltransferase_2_family,_polypeptide_A2_[Source:MGI_Symbol;Acc:MGI:3576095]"	0.426	NA
ENSMUSG00000054199	Gon4l	GON4L	protein_coding	protein_coding	gon-4-like_(C.elegans)_[Source:MGI_Symbol;Acc:MGI:1917579]	0.5254	NA
ENSMUSG00000024388	Myo7b	MYO7B	protein_coding	protein_coding	myosin_VIIB_[Source:MGI_Symbol;Acc:MGI:107709]	0.5551	NA
ENSMUSG00000073422	H2-Ke6	H2-KE6	protein_coding	protein_coding	H2-K_region_expressed_gene_6_[Source:MGI_Symbol;Acc:MGI:95911]	0.5873	NA
ENSMUSG00000054141	Olfr24	OLFR24	protein_coding	protein_coding	olfactory_receptor_24_[Source:MGI_Symbol;Acc:MGI:109311]	0.4052	NA
ENSMUSG00000032763	Ilvbl	ILVBL	protein_coding	protein_coding	ilvB_(bacterial_acetolactate_synthase)-like_[Source:MGI_Symbol;Acc:MGI:1351911]	0.5636	NA
ENSMUSG00000036103	Colec12	COLEC12	protein_coding	protein_coding	collectin_sub-family_member_12_[Source:MGI_Symbol;Acc:MGI:2152907]	0.4621	NA
ENSMUSG00000064288	Hist1h4k	HIST1H4K	protein_coding	protein_coding	"histone_cluster_1,_H4k_[Source:MGI_Symbol;Acc:MGI:2448439]"	0.6538	NA
ENSMUSG00000012422	Tmem167	TMEM167	protein_coding	protein_coding	transmembrane_protein_167_[Source:MGI_Symbol;Acc:MGI:1913324]	0.398	NA
ENSMUSG00000015659	Serac1	SERAC1	protein_coding	protein_coding	serine_active_site_containing_1_[Source:MGI_Symbol;Acc:MGI:2447813]	0.4912	NA
ENSMUSG00000004937	Sgta	SGTA	protein_coding	protein_coding	"small_glutamine-rich_tetratricopeptide_repeat_(TPR)-containing,_alpha_[Source:MGI_Symbol;Acc:MGI:1098703]"	0.588	NA
ENSMUSG00000034218	Atm	ATM	protein_coding	protein_coding	ataxia_telangiectasia_mutated_[Source:MGI_Symbol;Acc:MGI:107202]	0.4275	NA
ENSMUSG00000053289	Ddx10	DDX10	protein_coding	protein_coding	DEAD_(Asp-Glu-Ala-Asp)_box_polypeptide_10_[Source:MGI_Symbol;Acc:MGI:1924841]	0.4284	NA
ENSMUSG00000022849	Hspbap1	HSPBAP1	protein_coding	protein_coding	Hspb_associated_protein_1_[Source:MGI_Symbol;Acc:MGI:1913917]	0.4658	NA
ENSMUSG00000005102	Eif2ak4	EIF2AK4	protein_coding	protein_coding	eukaryotic_translation_initiation_factor_2_alpha_kinase_4_[Source:MGI_Symbol;Acc:MGI:1353427]	0.4993	NA
ENSMUSG00000025813	Homer2	HOMER2	protein_coding	protein_coding	homer_scaffolding_protein_2_[Source:MGI_Symbol;Acc:MGI:1347354]	0.5304	NA
ENSMUSG00000106364	Gm42994	GM42994	protein_coding	TEC	predicted_gene_42994_[Source:MGI_Symbol;Acc:MGI:5663131]	0.3845	NA
ENSMUSG00000024524	Gnal	GNAL	protein_coding	protein_coding	"guanine_nucleotide_binding_protein,_alpha_stimulating,_olfactory_type_[Source:MGI_Symbol;Acc:MGI:95774]"	0.473	NA
ENSMUSG00000049583	Grm5	GRM5	protein_coding	protein_coding	"glutamate_receptor,_metabotropic_5_[Source:MGI_Symbol;Acc:MGI:1351342]"	0.4793	NA
ENSMUSG00000019214	Chtf18	CHTF18	protein_coding	protein_coding	"CTF18,_chromosome_transmission_fidelity_factor_18_[Source:MGI_Symbol;Acc:MGI:2384887]"	0.5796	NA
ENSMUSG00000000171	Sdhd	SDHD	protein_coding	protein_coding	"succinate_dehydrogenase_complex,_subunit_D,_integral_membrane_protein_[Source:MGI_Symbol;Acc:MGI:1914175]"	0.4939	NA
ENSMUSG00000079442	St6galnac4	ST6GALNAC4	protein_coding	protein_coding	"ST6_(alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide_alpha-2,6-sialyltransferase_4_[Source:MGI_Symbol;Acc:MGI:1341894]"	0.5683	NA
ENSMUSG00000035735	Dagla	DAGLA	protein_coding	protein_coding	"diacylglycerol_lipase,_alpha_[Source:MGI_Symbol;Acc:MGI:2677061]"	0.5803	NA
ENSMUSG00000028188	Spata1	SPATA1	protein_coding	protein_coding	spermatogenesis_associated_1_[Source:MGI_Symbol;Acc:MGI:1918201]	0.3823	NA
ENSMUSG00000014782	Plekhg4	PLEKHG4	protein_coding	protein_coding	"pleckstrin_homology_domain_containing,_family_G_(with_RhoGef_domain)_member_4_[Source:MGI_Symbol;Acc:MGI:2142544]"	0.5607	NA
ENSMUSG00000096549	Prickle4	PRICKLE4	protein_coding	protein_coding	prickle_planar_cell_polarity_protein_4_[Source:MGI_Symbol;Acc:MGI:2685785]	0.5679	NA
ENSMUSG00000030265	Kras	KRAS	protein_coding	protein_coding	Kirsten_rat_sarcoma_viral_oncogene_homolog_[Source:MGI_Symbol;Acc:MGI:96680]	0.4475	NA
ENSMUSG00000032258	Lca5	LCA5	protein_coding	protein_coding	Leber_congenital_amaurosis_5_(human)_[Source:MGI_Symbol;Acc:MGI:1923032]	0.4637	NA
ENSMUSG00000031605	Klhl2	KLHL2	protein_coding	protein_coding	"kelch-like_2,_Mayven_[Source:MGI_Symbol;Acc:MGI:1924363]"	0.4751	NA
ENSMUSG00000047799	Oog4	OOG4	protein_coding	protein_coding	oogenesin_4_[Source:MGI_Symbol;Acc:MGI:2684051]	0.4359	NA
ENSMUSG00000034387	Ssu2	SSU2	protein_coding	protein_coding	ssu-2_homolog_(C._elegans)_[Source:MGI_Symbol;Acc:MGI:2443733]	0.5171	NA
ENSMUSG00000054263	Lifr	LIFR	protein_coding	protein_coding	leukemia_inhibitory_factor_receptor_[Source:MGI_Symbol;Acc:MGI:96788]	0.5035	NA
ENSMUSG00000032570	Atp2c1	ATP2C1	protein_coding	protein_coding	"ATPase,_Ca++-sequestering_[Source:MGI_Symbol;Acc:MGI:1889008]"	0.4521	NA
ENSMUSG00000028141	Oaz3	OAZ3	protein_coding	protein_coding	ornithine_decarboxylase_antizyme_3_[Source:MGI_Symbol;Acc:MGI:1858170]	0.5087	NA
ENSMUSG00000002342	Tmem161a	TMEM161A	protein_coding	protein_coding	transmembrane_protein_161A_[Source:MGI_Symbol;Acc:MGI:2384577]	0.593	NA
ENSMUSG00000019849	Prep	PREP	protein_coding	protein_coding	prolyl_endopeptidase_[Source:MGI_Symbol;Acc:MGI:1270863]	0.4625	NA
ENSMUSG00000037451	Slc22a20	SLC22A20	protein_coding	protein_coding	"solute_carrier_family_22_(organic_anion_transporter),_member_20_[Source:MGI_Symbol;Acc:MGI:2685809]"	0.5693	NA
ENSMUSG00000083138	Cyp4a29	CYP4A29	protein_coding	protein_coding	"cytochrome_P450,_family_4,_subfamily_a,_polypeptide_29_[Source:MGI_Symbol;Acc:MGI:3717143]"	0.4922	NA
ENSMUSG00000050891	Tatdn1	TATDN1	protein_coding	protein_coding	TatD_DNase_domain_containing_1_[Source:MGI_Symbol;Acc:MGI:1916944]	0.423	NA
ENSMUSG00000038160	Atg5	ATG5	protein_coding	protein_coding	autophagy_related_5_[Source:MGI_Symbol;Acc:MGI:1277186]	0.482	NA
ENSMUSG00000031754	Nudt21	NUDT21	protein_coding	protein_coding	nudix_(nucleoside_diphosphate_linked_moiety_X)-type_motif_21_[Source:MGI_Symbol;Acc:MGI:1915469]	0.432	NA
ENSMUSG00000026380	Tfcp2l1	TFCP2L1	protein_coding	protein_coding	transcription_factor_CP2-like_1_[Source:MGI_Symbol;Acc:MGI:2444691]	0.51	NA
ENSMUSG00000042429	Adora1	ADORA1	protein_coding	protein_coding	adenosine_A1_receptor_[Source:MGI_Symbol;Acc:MGI:99401]	0.5598	NA
ENSMUSG00000047674	Pdha2	PDHA2	protein_coding	protein_coding	pyruvate_dehydrogenase_E1_alpha_2_[Source:MGI_Symbol;Acc:MGI:97533]	0.4609	NA
ENSMUSG00000025239	Limd1	LIMD1	protein_coding	protein_coding	LIM_domains_containing_1_[Source:MGI_Symbol;Acc:MGI:1352502]	0.5198	NA
ENSMUSG00000031902	Nfatc3	NFATC3	protein_coding	protein_coding	"nuclear_factor_of_activated_T_cells,_cytoplasmic,_calcineurin_dependent_3_[Source:MGI_Symbol;Acc:MGI:103296]"	0.4399	NA
ENSMUSG00000104291	A130071D04Rik	A130071D04RIK	protein_coding	TEC	RIKEN_cDNA_A130071D04_gene_[Source:MGI_Symbol;Acc:MGI:2444749]	0.3776	NA
